Name,Star,Number,AREA,URL,Score,ID
LAXMI BAR & RESTAURANT,4,1100,Tisk (Ponda),https://www.google.com/maps/search/LAXMI+BAR+%26+RESTAURANT+Tisk+%28Ponda%29,4400,20250205193152_160
Ping's Bia Hoi,4.4,985,Saligao,https://www.google.com/maps/search/Ping%27s+Bia+Hoi+Saligao,4334,20250205193421_161
Down the road,4.3,1000,Panaji,https://www.google.com/maps/search/Down+the+road+Panaji,4300,20250205193448_162
Bombay Shivsagar Veg Restaurant,3.9,1100,Panaji,https://www.google.com/maps/search/Bombay+Shivsagar+Veg+Restaurant+Panaji,4290,20250205193509_163
Udupi Hotel Pure Vegetarian,3.9,1100,Vasco da Gama,https://www.google.com/maps/search/Udupi+Hotel+Pure+Vegetarian+Vasco+da+Gama,4290,20250205193529_164
Saz on the Beach,4.2,1000,Arambol,https://www.google.com/maps/search/Saz+on+the+Beach+Arambol,4200,20250205193547_165
Hotel Le Jardin,4.2,1000,Mapusa,https://www.google.com/maps/search/Hotel+Le+Jardin+Mapusa,4200,20250205193607_166
Chhatrapati Pure Veg Family Restaurant,4.2,1000,Tisk (Ponda),https://www.google.com/maps/search/Chhatrapati+Pure+Veg+Family+Restaurant+Tisk+%28Ponda%29,4200,20250205193626_167
Gagan's Restaurant,4.4,953,Naval Base Verem,https://www.google.com/maps/search/Gagan%27s+Restaurant+Naval+Base+Verem,4193.2,20250205193651_168
Cafe Tato Panjim Church,4.3,974,Panaji,https://www.google.com/maps/search/Cafe+Tato+Panjim+Church+Panaji,4188.2,20250205193712_169
Kinara Restaurant,4.2,997,Arambol,https://www.google.com/maps/search/Kinara+Restaurant+Arambol,4187.4,20250205193734_170
Adarsh Restaurant,3.8,1100,Vasco da Gama,https://www.google.com/maps/search/Adarsh+Restaurant+Vasco+da+Gama,4180,20250205193759_171
Eat Pure Veg. Family Restaurant-goa,4.1,1000,Saligao,https://www.google.com/maps/search/Eat+Pure+Veg.+Family+Restaurant-goa+Saligao,4100,20250205193820_172
Lioloco The Bistro,4.6,891,Mapusa,https://www.google.com/maps/search/Lioloco+The+Bistro+Mapusa,4098.6,20250205193841_173
Petisco- Kitchen & Bar,4.6,864,Panaji,https://www.google.com/maps/search/Petisco-+Kitchen+%26+Bar+Panaji,3974.4,20250205194101_174
Swati Hotel,4.3,895,Arambol,https://www.google.com/maps/search/Swati+Hotel+Arambol,3848.5,20250205194119_175
Krishna Bar & Restaurant,4,936,Arambol,https://www.google.com/maps/search/Krishna+Bar+%26+Restaurant+Arambol,3744,20250205194151_176
The Rooster,4.2,891,Vasco da Gama,https://www.google.com/maps/search/The+Rooster+Vasco+da+Gama,3742.2,20250205194211_177
Heera Classic Kitchen & Bar,4.1,912,Mapusa,https://www.google.com/maps/search/Heera+Classic+Kitchen+%26+Bar+Mapusa,3739.2,20250205194235_178
Boshan Hotels,3.9,941,Mapusa,https://www.google.com/maps/search/Boshan+Hotels+Mapusa,3669.9,20250205194254_179
