URL,Name,Star,Number,AREA,Score,ID
https://www.google.com/maps/place/Da+Tita+by+Magic+Italy+-+Authentic+Italian+Restaurant+%26+Pizzeria/data=!4m7!3m6!1s0x3bbe455117dc8f3d:0xa09c58c50409922!8m2!3d15.3088022!4d73.9263321!16s%2Fg%2F1hc5099d5!19sChIJPY_cF1FFvjsRIplAUIzFCQo?authuser=0&hl=en&rclk=1,Da Tita by Magic Italy - Authentic Italian Restaurant & Pizzeria,4.4,4195,Cansaulim,18458.0,20250205231711_55
https://www.google.com/maps/place/La+Plage/data=!4m7!3m6!1s0x3bbfe94df70459d7:0x21ec79615d518dfd!8m2!3d15.6405736!4d73.718948!16s%2Fg%2F1hf22ffcz!19sChIJ11kE903pvzsR_Y1RXWF57CE?authuser=0&hl=en&rclk=1,La Plage,4.5,4071,Mandrem,18319.5,6514c6c5d9c9cf82835b6e4bc68909a9
https://www.google.com/maps/place/FISH+DECK+GOA/data=!4m7!3m6!1s0x3bbfebeac7fc33a9:0x18440694ed95d46b!8m2!3d15.5665698!4d73.7649825!16s%2Fg%2F11h91q4rdy!19sChIJqTP8x-rrvzsRa9SV7ZQGRBg?authuser=0&hl=en&rclk=1,FISH DECK GOA,4.2,4244,Arpora,17824.8,0731e791fa9e8afeb6a344fde2e0197d
https://www.google.com/maps/place/Edward%27s+Yard/data=!4m7!3m6!1s0x3bbfb8e25fc479c7:0xf5e539a7ccd8b372!8m2!3d15.4376408!4d73.8871242!16s%2Fg%2F1q69td99w!19sChIJx3nEX-K4vzsRcrPYzKc55fU?authuser=0&hl=en&rclk=1,Edward's Yard,4.3,4022,Corlim Ind. Estate,17294.6,208cbe859cb7c2423c2a44cc25245f87
https://www.google.com/maps/place/Smita%E2%80%99s+Lakeview+Restaurant+%26+Bar+%7CBest+Fish+Thali+And+Authentic+Goan+Food%7C/data=!4m7!3m6!1s0x3bbfb8ea9b3a1cd1:0x4e1765e37ee5e98c!8m2!3d15.4391455!4d73.8676366!16s%2Fg%2F11btvl8nqt!19sChIJ0Rw6m-q4vzsRjOnlfuNlF04?authuser=0&hl=en&rclk=1,Smita’s Lakeview Restaurant & Bar |Best Fish Thali And Authentic Goan Food|,4.2,3989,Goa Velha,16753.8,ed91a48e479d071fdbd7c294cb7bd81c
https://www.google.com/maps/place/Tomato%27s+Garden+Kitchen+And+Bar/data=!4m7!3m6!1s0x3bbfc183437c8095:0x9718f891cb564bff!8m2!3d15.51838!4d73.7674431!16s%2Fg%2F11hz2dq8sd!19sChIJlYB8Q4PBvzsR_0tWy5H4GJc?authuser=0&hl=en&rclk=1,Tomato's Garden Kitchen And Bar,4.1,4062,Orlim,16654.2,3c4cf9cfcbdf51cf4f399472c526744a
https://www.google.com/maps/place/Ankita+Classic+Warkhand+Road/data=!4m7!3m6!1s0x3bbff2a0e68871a7:0xb8a69e7f96c97863!8m2!3d15.7341003!4d73.822529!16s%2Fg%2F11dxb2b2xg!19sChIJp3GI5qDyvzsRY3jJln-eprg?authuser=0&hl=en&rclk=1,Ankita Classic Warkhand Road,4.5,3650,Corlim Ind. Estate,16425.0,613ded3f52288d1068628ecfaa3957df
https://www.google.com/maps/place/Mum%27s+Kitchen/data=!4m7!3m6!1s0x3bbfc0ec02fca9d3:0x4b20a0c64329fdf4!8m2!3d15.4871348!4d73.8128064!16s%2Fg%2F1tdl94tk!19sChIJ06n8AuzAvzsR9P0pQ8agIEs?authuser=0&hl=en&rclk=1,Mum's Kitchen,4.4,3696,Corlim Ind. Estate,16262.4,749d2b63fb053f5d0db5baca63bc40ae
https://www.google.com/maps/place/Joseph+Bar/data=!4m7!3m6!1s0x3bbfc085e9df8595:0xf0f596147184bcf9!8m2!3d15.4983537!4d73.8316523!16s%2Fg%2F11cn__t4pr!19sChIJlYXf6YXAvzsR-byEcRSW9fA?authuser=0&hl=en&rclk=1,Joseph Bar,4.3,3736,Ribandar,16064.8,20250205231937_63
https://www.google.com/maps/place/Kentuckee+Seafood+Restaurant/data=!4m7!3m6!1s0x3bbfb41976bfb571:0xf95edafc45583633!8m2!3d15.2758961!4d73.9143936!16s%2Fg%2F1tj1__73!19sChIJcbW_dhm0vzsRMzZYRfzaXvk?authuser=0&hl=en&rclk=1,Kentuckee Seafood Restaurant,4.0,4016,Chinchinim,16064.0,6a477b85cd726b97e77063b9b40569aa
